Bexley,Theft and Handling,Theft/Taking of Pedal Cycles,2,5,2,5,3,4,5,4,2,2,3,3,4,9,11,10,2,3,2,4,4,3,3,2
Bexley,Violence Against the Person,Assault with Injury,34,21,29,18,14,15,10,18,21,23,29,28,19,27,33,35,38,39,25,49,35,39,42,28
Bexley,Violence Against the Person,Common Assault,24,33,25,25,27,21,20,33,32,36,22,21,19,33,37,33,30,31,35,39,37,31,32,30
Bexley,Violence Against the Person,Harassment,48,47,51,38,47,25,21,44,37,40,33,41,27,42,50,65,49,52,50,67,33,54,42,38
Bexley,Violence Against the Person,Murder,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,
Bexley,Violence Against the Person,Offensive Weapon,2,2,4,4,3,2,1,5,4,5,1,1,1,4,3,6,1,2,1,2,6,2,1,5
Bexley,Violence Against the Person,Other Violence,7,1,4,4,1,3,1,2,4,6,1,,3,4,4,7,3,6,4,10,4,4,4,7
Bexley,Violence Against the Person,Wounding/GBH,16,17,10,5,9,4,9,15,14,9,16,16,19,12,15,16,10,21,13,15,9,11,22,8
Brent,Burglary,Burglary - Business and Community,38,43,35,25,23,23,29,31,21,32,30,41,33,33,35,30,35,49,38,50,52,45,30,32
Brent,Burglary,Burglary - Residential,16,10,13,7,5,10,6,8,3,2,5,9,7,7,16,10,8,7,9,6,3,9,8,8
Brent,Criminal Damage,Arson,1,5,2,1,2,2,2,2,1,3,2,4,3,1,1,1,1,2,2,1,,1,2,4
Brent,Criminal Damage,Criminal Damage To M/V,14,17,24,11,14,8,12,11,7,13,9,15,22,22,15,9,11,11,12,12,21,14,21,14
Brent,Criminal Damage,Criminal Damage To Other Bldg,11,10,11,13,9,12,6,8,8,11,10,7,6,3,8,11,9,11,8,9,5,10,12,9
Brent,Criminal Damage,Criminal Damage To a Dwelling,5,7,5,3,8,4,9,9,9,8,3,5,3,4,9,5,8,4,4,3,5,4,2,3
Brent,Criminal Damage,Other Criminal Damage,26,30,29,31,21,29,32,13,30,30,33,36,34,32,33,28,29,27,21,33,36,45,32,31
Brent,Drugs,Drug Trafficking,1,1,1,5,1,0,2,1,2,,3,1,2,4,4,3,2,5,5,5,1,5,2,1
Brent,Drugs,Other Drug Offences,1,1,0,0,0,0,0,,,,,1,,1,,1,,,,,,2,1,
Brent,Drugs,Possession Of Drugs,48,52,49,39,39,51,40,38,55,55,48,46,56,31,40,46,50,58,40,51,46,57,28,29
Brent,Fraud or Forgery,Other Fraud & Forgery,0,2,0,2,0,0,0,3,,2,1,2,,3,1,2,,1,2,4,1,1,3,2
Brent,Other Notifiable Offences,Going Equipped,0,0,0,0,0,0,1,,1,,,,,1,,,,,1,,,1,,
Brent,Other Notifiable Offences,Other Notifiable,11,3,13,10,6,4,4,5,13,7,7,23,10,14,11,7,9,6,8,14,11,13,11,26
Brent,Robbery,Business Property,7,10,9,6,3,8,4,3,14,3,3,7,8,3,3,7,8,7,6,7,8,4,11,5
Brent,Robbery,Personal Property,17,26,31,31,38,22,18,26,28,22,21,25,18,10,29,38,26,21,23,38,25,17,19,33
Brent,Sexual Offences,Other Sexual,5,6,4,8,11,7,15,15,7,10,21,21,10,16,14,14,7,12,10,19,18,19,19,22
Brent,Sexual Offences,Rape,3,3,6,3,2,1,3,1,1,3,6,5,3,2,5,2,4,4,6,2,2,2,3,4
Brent,Theft and Handling,Handling Stolen Goods,1,0,0,0,0,2,1,,,,,,2,,,2,,,,,,1,,
Brent,Theft and Handling,M/V Interference & Tampering,9,6,9,6,3,3,6,9,2,5,2,6,3,7,8,6,8,3,5,7,14,12,4,18
Brent,Theft and Handling,Other Theft,108,119,123,85,110,103,85,104,81,99,117,141,119,128,154,158,109,137,132,130,157,168,106,144
Brent,Theft and Handling,Theft From M/V,40,63,59,49,32,37,40,35,39,43,39,44,45,33,56,44,53,61,53,57,57,44,38,51
Brent,Theft and Handling,Theft From Shops,76,89,88,74,91,72,67,77,81,90,88,88,107,99,99,94,91,71,79,116,140,136,114,123
Brent,Theft and Handling,Theft Person,39,31,38,30,45,21,25,40,32,38,22,62,31,45,62,59,44,41,69,49,67,58,38,56
Brent,Theft and Handling,Theft/Taking of M/V,23,25,16,19,27,15,21,13,16,29,14,15,17,24,20,23,8,21,19,20,17,19,17,27
Brent,Theft and Handling,Theft/Taking of Pedal Cycles,13,12,10,11,6,6,13,11,15,19,16,10,18,16,12,9,13,14,12,13,13,16,20,24
Brent,Violence Against the Person,Assault with Injury,47,43,45,47,49,37,31,47,37,37,58,55,46,66,59,44,39,63,46,75,59,64,58,74
Brent,Violence Against the Person,Common Assault,87,81,91,75,79,51,53,67,75,97,80,95,80,65,91,92,74,87,53,95,127,92,116,89
Brent,Violence Against the Person,Harassment,91,95,102,88,83,61,63,94,69,119,106,117,95,87,132,109,69,79,111,109,85,118,126,100
Brent,Violence Against the Person,Murder,0,0,0,0,0,0,2,,1,,,,,,,,,,,,1,,,
Brent,Violence Against the Person,Offensive Weapon,6,14,10,5,5,4,9,5,4,8,6,9,7,7,10,5,8,6,4,10,5,3,6,9
Brent,Violence Against the Person,Other Violence,6,3,7,11,10,2,5,12,4,11,4,6,8,9,10,7,4,6,6,11,7,4,11,4
Brent,Violence Against the Person,Wounding/GBH,18,28,33,19,24,9,9,22,15,35,32,29,29,39,22,32,29,20,28,28,30,32,27,23
Bromley,Burglary,Burglary - Business and Community,18,17,29,22,30,29,26,43,34,32,45,49,30,37,31,44,19,35,34,51,23,30,33,18
Bromley,Burglary,Burglary - Residential,4,2,6,3,6,1,8,5,3,9,2,2,1,2,6,4,4,,5,1,2,1,1,2
Bromley,Criminal Damage,Arson,5,3,3,3,3,1,1,3,4,4,1,1,2,1,3,,1,1,1,2,2,5,2,3
Bromley,Criminal Damage,Criminal Damage To M/V,9,6,5,5,10,7,6,5,12,16,17,8,2,11,3,7,8,20,20,9,13,11,20,13
Bromley,Criminal Damage,Criminal Damage To Other Bldg,12,6,8,5,5,7,6,9,7,11,11,5,6,2,7,8,11,13,4,15,10,7,7,11
Bromley,Criminal Damage,Criminal Damage To a Dwelling,4,3,3,9,4,7,1,2,7,6,4,4,3,2,6,10,3,2,5,3,1,2,7,8
Bromley,Criminal Damage,Other Criminal Damage,16,26,33,18,30,13,15,27,21,20,19,20,25,23,26,34,18,23,25,18,31,22,18,26
Bromley,Drugs,Drug Trafficking,3,0,0,1,0,2,1,1,3,1,,2,1,,2,,3,1,1,,1,1,3,2
Bromley,Drugs,Other Drug Offences,0,0,0,0,0,0,1,,,,,1,,,,,,2,,,,,,
Bromley,Drugs,Possession Of Drugs,12,17,12,20,26,11,18,34,23,11,19,33,23,27,23,32,39,25,22,36,28,41,39,20
Bromley,Fraud or Forgery,Other Fraud & Forgery,1,0,1,0,2,0,0,,3,3,1,2,1,,,,1,1,1,,2,,3,
Bromley,Other Notifiable Offences,Going Equipped,1,0,0,0,0,0,0,,,,,1,,,,2,,,1,,2,,,
Bromley,Other Notifiable Offences,Other Notifiable,11,11,9,11,4,7,8,4,6,11,11,6,2,14,16,6,7,10,7,17,8,9,5,6
Bromley,Robbery,Business Property,9,8,3,16,2,1,2,4,12,4,5,2,6,7,3,6,3,5,5,7,5,12,2,3
Bromley,Robbery,Personal Property,14,10,16,10,14,2,7,4,7,6,11,6,5,19,11,16,4,10,10,17,17,13,12,29
Bromley,Sexual Offences,Other Sexual,3,6,8,8,4,3,9,5,12,10,12,9,12,7,12,12,11,14,7,17,10,11,6,16
Bromley,Sexual Offences,Rape,1,1,4,2,1,0,1,1,3,5,3,,,5,4,2,2,1,5,3,2,4,1,4
Bromley,Theft and Handling,Handling Stolen Goods,0,1,0,1,1,0,0,2,,,,2,2,1,,,1,1,,,1,1,1,
Bromley,Theft and Handling,M/V Interference & Tampering,3,4,8,1,1,4,7,8,1,5,4,3,5,6,1,7,5,6,5,6,6,3,3,7
Bromley,Theft and Handling,Other Theft,73,89,77,56,72,50,85,52,55,86,82,87,93,95,123,110,61,92,97,99,74,117,106,98
Bromley,Theft and Handling,Theft From M/V,15,24,43,23,15,8,22,19,17,35,28,17,15,22,21,36,15,27,15,24,20,17,21,39
Bromley,Theft and Handling,Theft From Shops,123,149,217,165,127,126,151,129,162,187,169,155,187,164,210,216,168,185,213,150,170,135,163,131
Bromley,Theft and Handling,Theft Person,29,20,32,11,25,7,7,15,40,28,30,54,47,41,56,45,43,30,25,26,40,23,29,42
Bromley,Theft and Handling,Theft/Taking of M/V,12,17,20,17,9,16,11,10,17,9,14,5,18,20,16,20,14,21,12,7,13,7,16,22
Bromley,Theft and Handling,Theft/Taking of Pedal Cycles,10,8,8,13,2,4,3,9,5,2,12,7,17,11,9,8,8,6,5,7,10,8,11,7
Bromley,Violence Against the Person,Assault with Injury,37,35,44,39,30,19,24,21,38,44,31,36,40,47,54,47,40,43,38,50,60,53,53,27
Bromley,Violence Against the Person,Common Assault,53,54,53,44,48,23,32,43,46,55,57,50,47,43,52,56,64,56,54,80,60,61,65,61
Bromley,Violence Against the Person,Harassment,71,71,70,68,59,47,38,54,92,55,74,112,62,84,83,98,71,74,54,81,77,73,85,91
Bromley,Violence Against the Person,Murder,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,,
Bromley,Violence Against the Person,Offensive Weapon,4,4,5,11,3,3,1,11,5,3,5,8,4,5,4,7,6,2,6,3,1,5,9,1
Bromley,Violence Against the Person,Other Violence,7,2,1,1,3,1,2,1,3,5,5,7,1,4,11,11,6,6,10,8,6,5,10,7
Bromley,Violence Against the Person,Wounding/GBH,16,10,13,9,12,6,4,10,10,13,10,15,21,13,15,19,19,17,14,26,18,14,14,12
Camden,Burglary,Burglary - Business and Community,73,76,98,66,43,50,53,42,49,51,55,48,57,40,54,51,62,54,75,67,71,84,62,60
Camden,Burglary,Burglary - Residential,10,5,7,9,13,13,18,9,13,9,13,6,8,10,11,11,12,14,11,14,12,12,8,12
