country_code,short_name,table_name,long_name,2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,alternative_conversion_factor,ppp_survey_year,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_population_census,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data
ZAR_Nord-Kivu_ZR.NK_1074_ZAR009,,"Congo, Dem. Rep., Nord-Kivu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Province_Orientale_ZR.PO_1075_ZAR010,,"Congo, Dem. Rep., Province Orientale",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
ZAR_Sud-Kivu_ZR.SK_1076_ZAR011,,"Congo, Dem. Rep., Sud-Kivu",,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CRI,,Costa Rica,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CRI_Brunca_AGG015,,"Costa Rica, Brunca",,,,"Region Brunca is comprised of: 1) Provincia de San José: Pérez Zeledón.
 ; 2) Provincia de Puntarenas: Buenos Aires, Osa, Golfito, Coto Brus y Corredores.",,,,,,,,,,,,,,,,,,,,,,,,
CRI_Central_AGG016,,"Costa Rica, Central",,,,"Region central is comprised of 1) Provincia de San José: San José, Escazú, Desamparados, Puriscal, Aserrí, Mora, Tarrazú, Goicoechea, Santa Ana, Alajuelita, Vásquez de Coronado, Acosta, Moravia, Tibás, Montes de Oca, Dota, Curridabat, León Cortés, Turrubares.
 ; 2) Provincia de Alajuela: Alajuela (excepto el distrito de Sarapiquí), San Ramón (excepto el distrito de San Isidro de Peñas Blancas), Grecia (excepto el distrito de Río Cuarto), Atenas, Naranjo, Palmares, Poás, Zarcero, Valverde Vega.
 ; 3) Provincia de Cartago: Cartago, Paraíso, La Unión, Jiménez, Turrialba, Alvarado, Oreamuno, El Guarco.
 ; 4)Provincia de Heredia: Heredia, Barva, Santo Domingo, Santa Bárbara, San Rafael, San Isidro, Belén, Flores, San Pablo.",,,,,,,,,,,,,,,,,,,,,,,,
CRI_Guanacaste_CR.GU_984.99_CRI003,,"Costa Rica, Guanacaste",,,,"Region Chorotega is comprised of :1) Provincia de Guanacaste: Liberia, Nicoya, Santa Cruz. Bagaces, Carrillo, Cañas, Abangares, Tilarán, Nandayure, La Cruz, Hojancha.
 ; 2) Provincia de Alajuela: Upala.",,,,,,,,,,,,,,,,,,,,,,,,
CRI_Huetar_Atlantica_AGG018,,"Costa Rica, Huetar Atlántica",,,,"Region Hueta Atlantica is comprised of: 1) Provincia de Limón: Limón, Pococí, Siquirres, Talamanca, Matina y Guácimo.
 ; 2) Provincia de Heredia: Distrito Horquetas del cantón de Sarapiquí.",,,,,,,,,,,,,,,,,,,,,,,,
CRI_Huetar_Norte_AGG019,,"Costa Rica, Huetar Norte",,,,"Region Huetar Norte is comprised of: 1) Provincia de Alajuela: San Carlos, Los Chiles, Guatuso, Distrito Sarapiquí del cantón de Alajuela, distrito Río Cuarto del cantón de Grecia, distrito San Isidro de Peñas Blancas del cantón de San Ramón.
 ; 2) Provincia de Heredia: Distritos Puerto viejo y La Virgen, del cantón de Sarapiquí",,,,,,,,,,,,,,,,,,,,,,,,
CRI_Pacífico_Central_AGG020,,"Costa Rica, Pacífico Central",,,,"Region Pacifico central is comprised of: 1) Provincia de Puntarenas: Puntarenas, Esparza, Montes de Oro, Aguirre, Parrita y Garabito.
 ; 2) Provincia de Alajuela: San Mateo y Orotina",,,,,,,,,,,,,,,,,,,,,,,,
CZE,,Czech Republic,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
CZE_Jihovychod_AGG021,,"Czech Republic, Jihovýchod",,,,"Jihovýchod is an EU Planning Unit comprised of the following first administrative level units: Vysocina Region, South Moravian Region.",,,,,,,,,,,,,,,,,,,,,,,,
CZE_Jihozapad_AGG022,,"Czech Republic, Jihozápad",,,,"Jihozápad is an EU Planning Unit comprised of the following first administrative level units: South Bohemian Region, Plzen Region.",,,,,,,,,,,,,,,,,,,,,,,,
CZE_Moravskoslezsko_AGG023,,"Czech Republic, Moravskoslezsko",,,,Moravskoslezsko is an EU Planning Unit comprised of the following first administrative level units: Moravian-Silesian Region.,,,,,,,,,,,,,,,,,,,,,,,,
CZE_Praha_AGG024,,"Czech Republic, Praha",,,,Praha is an EU Planning Unit comprised of the following first administrative level units: Prague.,,,,,,,,,,,,,,,,,,,,,,,,
CZE_Severovychod_AGG025,,"Czech Republic, Severovýchod",,,,"Severovýchod is an EU Planning Unit comprised of the following first administrative level units: Liberec Region, Hradec Králové Region, Pardubice Region.",,,,,,,,,,,,,,,,,,,,,,,,
CZE_Severozapad_AGG026,,"Czech Republic, Severozápad",,,,"Severozápad is an EU Planning Unit comprised of the following first administrative level units: Karlovy Vary Region, Ústí nad Labem Region.",,,,,,,,,,,,,,,,,,,,,,,,
CZE_Stredni_Cechy_AGG027,,"Czech Republic, Strední Cechy",,,,Strední Cechy is an EU Planning Unit comprised of the following first administrative level units: Central Bohemian Region.,,,,,,,,,,,,,,,,,,,,,,,,
CZE_Stredni_Morava_AGG028,,"Czech Republic, Strední Morava",,,,"Strední Morava is an EU Planning Unit comprised of the following first administrative level units: Olomouc Region, Zlín Region.",,,,,,,,,,,,,,,,,,,,,,,,
DOM,,Dominican Republic,,,,None,,,,,,,,,,,,,,,,,,,,,,,,
DOM_Cibao_Nordeste_AGG029,,"Dominican Republic, Cibao Nordeste",,,,"Cibao Nordeste is comprised of the following first administrative level units: Duarte, Hermanas Mirabal, María Trinidad Sánchez, Samaná.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Cibao_Noroeste_AGG230.1,,"Dominican Republic, Cibao Noroeste",,,,"Cibao Noroeste is comprised of the following first administrative level units: Dajabón, Monte Cristi, Santiago Rodríguez, Valverde.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Cibao_Norte_AGG030,,"Dominican Republic, Cibao Norte",,,,"Cibao Norte is comprised of the following first administrative level units: Espaillat, Puerto Plata, Santiago.",,,,,,,,,,,,,,,,,,,,,,,,
DOM_Cibao_Sur_AGG031,,"Dominican Republic, Cibao Sur",,,,"Cibao Sur is comprised of the following first administrative level units: La Vega, Monseñor Nouel, Sánchez Ramírez.",,,,,,,,,,,,,,,,,,,,,,,,
