web-scraper-order,web-scraper-start-url,paginas_busqueda,ProductoKatana,ProductoKatana-href,nombre_producto,precio_producto,inventario_producto,origen_producto
"1661797988-15","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Katana Tanjiro Anime ( Kimetsu No Yaiba)","https://articulo.mercadolibre.com.co/MCO-938853056-katana-tanjiro-anime-kimetsu-no-yaiba-_JM#position=36&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Katana Tanjiro Anime ( Kimetsu No Yaiba)","120.000","null","Ciudad Bolivar, Bogotá D.C."
"1661798126-76","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Katana Samarai Blanca Dragón (3 Piezas) Con Estante","https://articulo.mercadolibre.com.co/MCO-653071584-espada-katana-samarai-blanca-dragon-3-piezas-con-estante-_JM#position=44&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Katana Samarai Blanca Dragón (3 Piezas) Con Estante","800.000","Cantidad:1 unidad(3 disponibles)","Sabaneta, Antioquia"
"1661798132-79","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Espada Daga En Acero Kendo Aikido Coleccion Taekwondo","https://articulo.mercadolibre.com.co/MCO-496369860-katana-espada-daga-en-acero-kendo-aikido-coleccion-taekwondo-_JM#position=41&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Espada Daga En Acero Kendo Aikido Coleccion Taekwondo","306.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798172-99","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Katana Sable,samurai En Acero Para Decoracion Regalo","https://articulo.mercadolibre.com.co/MCO-598159915-espada-katana-sablesamurai-en-acero-para-decoracion-regalo-_JM#position=21&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Katana Sable,samurai En Acero Para Decoracion Regalo","306.900","Cantidad:1 unidad(2 disponibles)","Fontibón, Bogotá D.C."
"1661798001-21","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Lyuesword Forjado A Mano Damasco Doblado Acero Arcilla Templ","https://articulo.mercadolibre.com.co/MCO-933395725-lyuesword-forjado-a-mano-damasco-doblado-acero-arcilla-templ-_JM#position=30&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Lyuesword Forjado A Mano Damasco Doblado Acero Arcilla Templ","3.183.363","Cantidad:1 unidad(12 disponibles)","Aguachica, Cesar"
"1661798037-36","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_51_NoIndex_True","Tsuba Decorativa Ninja Gaiden, Katana, Xbox, Play Station","https://articulo.mercadolibre.com.co/MCO-597251703-tsuba-decorativa-ninja-gaiden-katana-xbox-play-station-_JM#position=15&search_layout=stack&type=item&tracking_id=5a5de2e5-84f7-48ba-bb2c-11c67d1b3d8d","Tsuba Decorativa Ninja Gaiden, Katana, Xbox, Play Station","82.500","Cantidad:1 unidad(5 disponibles)","Bucaramanga, Santander"
"1661798098-63","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_Desde_101_NoIndex_True","Correa De Cinturón De La Espada Rana Ajuste Universal ...","https://articulo.mercadolibre.com.co/MCO-605073003-correa-de-cinturon-de-la-espada-rana-ajuste-universal--_JM#position=7&search_layout=stack&type=item&tracking_id=dca914cd-0fb2-4744-b5d2-a520d28be608","Correa De Cinturón De La Espada Rana Ajuste Universal ...","164.999","Cantidad:1 unidad(5 disponibles)","Engativá, Bogotá D.C."
"1661798167-96","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Kimetsu No Yaiba Demon Slayer Set X 8 Accesorios Katana","https://articulo.mercadolibre.com.co/MCO-871110585-kimetsu-no-yaiba-demon-slayer-set-x-8-accesorios-katana-_JM#position=24&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Kimetsu No Yaiba Demon Slayer Set X 8 Accesorios Katana","89.000","Cantidad:1 unidad(5 disponibles)","Puente Aranda, Bogotá D.C."
"1661798205-115","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Katana Espada Sable Armas Modelo Adornos Para Figuras De","https://articulo.mercadolibre.com.co/MCO-913312378-katana-espada-sable-armas-modelo-adornos-para-figuras-de-_JM#position=4&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Katana Espada Sable Armas Modelo Adornos Para Figuras De","128.185","Cantidad:1 unidad(9 disponibles)","China"
"1661798162-94","https://listado.mercadolibre.com.co/katanas-japonesas#D[A:katanas%20japonesas]","https://listado.mercadolibre.com.co/deportes-fitness/boxeo-artes-marciales/proteccion-defensa/katanas/katanas-japonesas_NoIndex_True","Espada Katana Sable,samurai,artes Marciales,daga No Stand","https://articulo.mercadolibre.com.co/MCO-601595016-espada-katana-sablesamuraiartes-marcialesdaga-no-stand-_JM#position=26&search_layout=stack&type=item&tracking_id=2f7c856e-2c8b-4255-b63f-3bf50d1a0170","Espada Katana Sable,samurai,artes Marciales,daga No Stand","306.900","null","Fontibón, Bogotá D.C."
